1,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.053728,-76.948494
2,Refrigeradora Samsung Side By Side RS52B3000M9,93.0,0.72,0.97,1.89,50.0,-12.122452,-77.031293
3,Aspiradora Electrolux PTE10,2.3,0.27,0.31,1.28,0.0,-12.140356,-76.985933
4,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.140356,-76.985933
5,Cocina MABE CMP5140FX0,28.3,0.54,0.52,0.925,15.0,-12.10738,-76.996883
6,Televisor Samsung Smart TV 50 LED 4K UHD,9.5,0.25,0.95,0.69,0.0,-12.122452,-77.031293
7,Grill Parrillero Miray GPM-15,2.6,0.27,0.52,0.1,0.0,-12.057776,-77.184214
8,Lavaseca LG WD9PVC4S6 AI DD,66.0,0.58,0.66,0.89,40.0,-12.134781,-77.014236
9,Cafetera Frappé Oster BVSTDC03B-053,6.85,0.26,0.32,0.35,6.0,-12.103733,-77.187358
10,Horno Eléctrico Modelo 1,9.1,0.78,0.54,0.54,8.0,-12.15856,-76.989342
11,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
12,Cafetera Oster Prima Latte,5.0,0.32,0.22,0.28,5.0,-12.0657,-77.10126
13,Horno Microondas LG MS2536GIS,11.0,0.54,0.417,0.294,10.0,-12.0545,-77.1176
14,Licuadora Miray LIM-9,1.3,0.133,0.22,0.35,0.0,-12.134781,-77.014236
15,Lavavajillas Frigidaire GDPH-4515AF,29.0,0.62,0.61,0.85,30.0,-12.16075,-77.123898
16,Refrigeradora LG Top Freezer GT57BPSX,85.5,0.96,0.8,1.76,40.0,-12.07927,-77.063227
17,Cocina Indurama Parma Zafiro,45.82,0.636,0.76,0.95,20.0,-12.053728,-76.948494
