1,Horno Microonda Panasonic NN-GT36,13.0,0.5,0.35,0.3,10.0,-12.109453,-76.927807
2,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.075229,-77.060402
3,Grill Oster CKSTGR4768-053,2.7,0.455,0.327,0.322,0.0,-12.189808,-77.081873
4,Licuadora Oster 250-22,3.74,0.23,0.19,0.335,0.0,-12.083428,-77.04554
5,Horno Eléctrico Modelo 3,7.25,0.43,0.52,0.38,6.0,-12.150865,-77.111564
6,Televisor Samsung SMART TV 43 UHD,8.1,0.25,0.94,0.71,0.0,-12.19856,-77.186628
7,Lavavajilla SOLE - STILUX MAX SOLLAVAJ001V2,45.0,0.605,0.6,0.845,40.0,-12.194438,-77.122552
8,Televisor TCL SMART TV 65 QLED 4K UHD,17.3,0.3,1.09,0.83,0.0,-12.188495,-76.915242
9,Refrigeradora LG Top Freezer GT57BPSX,85.5,0.96,0.8,1.76,40.0,-12.198474,-77.127026
10,Refrigeradora Samsung Side By Side RS52B3000M9,93.0,0.72,0.97,1.89,50.0,-12.147833,-76.94188
11,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.069483,-76.968414
12,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.136733,-77.015851
13,Cocina MABE EMP5120GP1,24.5,0.54,0.52,0.915,15.0,-12.152279,-76.932223
14,Aspiradora Thomas Cyclone,7.5,0.6,0.38,0.5,0.0,-12.087585,-77.182705
15,Cafetera Oster Prima Latte,5.0,0.32,0.225,0.28,5.0,-12.195608,-77.08216
