1,Cocina Klimatic Munchen,26.6,0.552,0.495,0.85,15.0,-12.097622,-77.036002
2,Horno Eléctrico Modelo 4,7.5,0.42,0.42,0.36,6.0,-12.122452,-77.031293
3,Licuadora Thomas TH-780VR,4.7,0.22,0.29,0.38,0.0,-12.15856,-76.989342
4,Lavadora Mabe LMA8120WDGBB0,47.0,0.67,0.66,1.05,35.0,-12.10738,-76.996883
5,Televisor Philips 50 4K Ultra HD Google TV,9.31,0.25,0.94,0.71,0.0,-12.085846,-76.971214
6,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.140356,-76.985933
7,Cafetera Frappé Oster BVSTDC03B-053,6.85,0.26,0.32,0.35,6.0,-12.103733,-77.187358
8,Grill Parrillero Miray GPM-15,2.6,0.27,0.52,0.1,0.0,-12.057776,-77.184214
9,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
10,Lavaseca LG WD9PVC4S6 AI DD,66.0,0.58,0.66,0.89,40.0,-12.134781,-77.014236
11,Cafetera Oster Prima Latte,5.0,0.32,0.225,0.28,5.0,-12.0657,-77.10126
12,Lavavajillas Frigidaire GDPH-4515AF,29.0,0.62,0.61,0.85,30.0,-12.16075,-77.123898
13,Horno Microondas LG MS2536GIS,11.0,0.54,0.417,0.294,10.0,-12.0545,-77.1176
14,Cocina MABE CMP5140FX0,28.3,0.54,0.52,0.925,15.0,-12.10738,-76.996883
15,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.053728,-76.948494
