1,Horno Microondas Indurama MWI-20TCRP,11.23,0.48,0.38,0.29,10.0,-12.15856,-76.989342
2,Refrigeradora Samsung Side By Side RS52B3000M9,93.0,0.72,0.97,1.89,50.0,-12.122452,-77.031293
3,Televisor Samsung Smart TV 50 LED 4K UHD,9.5,0.25,0.95,0.69,0.0,-12.122452,-77.031293
4,Horno Eléctrico Modelo 1,9.1,0.78,0.54,0.54,8.0,-12.15856,-76.989342
5,Aspiradora Electrolux PTE10,2.3,0.27,0.31,1.28,0.0,-12.140356,-76.985933
6,Grill Parrillero Miray GPM-15,2.6,0.27,0.52,0.1,0.0,-12.057776,-77.184214
7,Lavaseca LG WD9PVC4S6 AI DD,66.0,0.58,0.66,0.89,40.0,-12.134781,-77.014236
8,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
9,Cocina Indurama Parma Zafiro,45.82,0.636,0.76,0.95,20.0,-12.053728,-76.948494
10,Cafetera Oster Prima Latte,5.0,0.32,0.225,0.28,5.0,-12.0657,-77.10126
11,Licuadora Oster 250-22,3.74,0.23,0.19,0.335,0.0,-12.140356,-76.985933
12,Lavadora Mabe LMA8120WDGBB0,47.0,0.67,0.66,1.05,35.0,-12.10738,-76.996883
13,Horno Eléctrico Modelo 4,7.5,0.42,0.42,0.36,6.0,-12.122452,-77.031293
14,Lavavajilla SOLE - STILUX MAX SOLLAVAJ001V2,45.0,0.6,0.6,0.84,40.0,-12.057169,-76.999832
15,Cocina MABE CMP5140FX0,28.3,0.54,0.52,0.925,15.0,-12.10738,-76.996883
