1,Refrigeradora Samsung Side By Side RS52B3000M9,93.0,0.72,0.97,1.89,50.0,-12.122452,-77.031293
2,Lavadora Mabe LMA8120WDGBB0,47.0,0.67,0.66,1.05,35.0,-12.10738,-76.996883
3,Horno Microondas Indurama MWI-20TCRP,11.23,0.48,0.38,0.29,10.0,-12.15856,-76.989342
4,Televisor Samsung Smart TV 50 LED 4K UHD,9.5,0.25,0.95,0.69,0.0,-12.122452,-77.031293
5,Aspiradora Thomas TH-1870,5.2,0.33,0.28,0.28,0.0,-12.134781,-77.014236
6,Cafetera Electrolux ECM30,6.85,0.266,0.325,0.358,6.0,-12.143153,-77.128616
7,Horno Eléctrico Modelo 3,7.25,0.43,0.52,0.38,6.0,-12.07927,-77.063227
8,Licuadora Thomas TH-780VR,4.7,0.22,0.29,0.38,0.0,-12.15856,-76.989342
9,Cocina MABE CMP5140FX0,28.3,0.54,0.52,0.925,15.0,-12.10738,-76.996883
10,Grill Parrillero Miray GPM-15,2.6,0.275,0.52,0.105,0.0,-12.057776,-77.184214
11,Lavavajilla SOLE - STILUX MAX SOLLAVAJ001V2,45.0,0.605,0.6,0.845,40.0,-12.057169,-76.999832
12,Refrigeradora LG Top Freezer VT37BPM,70.0,0.72,0.73,1.79,40.0,-12.085846,-76.971214
13,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.053728,-76.948494
14,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.140356,-76.985933
15,Televisor Philips 50 4K Ultra HD Google TV,9.31,0.25,0.94,0.71,0.0,-12.085846,-76.971214
16,Aspiradora Electrolux ERG36,4.21,0.15,0.3,0.69,0.0,-12.10738,-76.996883
17,Cafetera Oster Prima Latte,5.0,0.32,0.225,0.28,5.0,-12.0657,-77.10126
