1,Refrigeradora LG Top Freezer GT57BPSX,85.5,0.96,0.8,1.76,40.0,-12.07927,-77.063227
2,Lavadora Mabe LMA8120WDGBB0,47.0,0.67,0.66,1.05,35.0,-12.10738,-76.996883
3,Horno Microondas Indurama MWI-20TCRP,11.23,0.48,0.38,0.29,10.0,-12.15856,-76.989342
4,Televisor TCL SMART TV 65 QLED 4K UHD,17.3,0.3,1.09,0.83,0.0,-12.07927,-77.063227
5,Aspiradora Thomas TH-1870,5.2,0.33,0.28,0.28,0.0,-12.134781,-77.014236
6,Horno Eléctrico Modelo 2,7.1,0.43,0.51,0.41,6.0,-12.0545,-77.1176
7,Cocina MABE EMP5120GP1,24.5,0.54,0.52,0.915,15.0,-12.085846,-76.971214
8,Cafetera Oster Prima Latte,5.0,0.32,0.22,0.28,5.0,-12.0657,-77.10126
9,Lavavajilla SOLE - STILUX MAX SOLLAVAJ001V2,45.0,0.6,0.6,0.84,40.0,-12.057169,-76.999832
10,Grill Parrillero Miray GPM-15,2.6,0.27,0.52,0.1,0.0,-12.057776,-77.184214
11,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
12,Horno Eléctrico Modelo 3,7.25,0.43,0.52,0.38,6.0,-12.07927,-77.063227
13,Licuadora Oster 250-22,3.74,0.23,0.19,0.335,0.0,-12.140356,-76.985933
14,Cocina Indurama Parma Zafiro,45.82,0.636,0.76,0.95,20.0,-12.053728,-76.948494
15,Lavavajillas Electrolux - EHFE14T2MSBXB,48.0,0.61,0.6,0.84,40.0,-11.995199,-77.176887
16,Horno Microondas LG MS2536GIS,11.0,0.54,0.417,0.294,10.0,-12.0545,-77.1176
17,Cafetera Electrolux ECM30,6.85,0.26,0.32,0.35,6.0,-12.143153,-77.128616
