1,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.19186,-77.131455
2,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.135202,-77.195737
3,Refrigeradora Samsung Side By Side RS52B3000M9,93.0,0.72,0.97,1.89,50.0,-12.14699,-77.052761
4,Horno Eléctrico Modelo 3,7.25,0.43,0.52,0.38,6.0,-12.147406,-77.104821
5,Lavavajilla SOLE - STILUX MAX SOLLAVAJ001V2,45.0,0.605,0.6,0.845,40.0,-12.100907,-77.03165
6,Horno Microonda Panasonic NN-GT36,13.0,0.5,0.35,0.3,10.0,-12.133353,-77.123054
7,Cocina MABE EMP5120GP1,24.5,0.54,0.52,0.915,15.0,-12.193423,-76.972794
8,Refrigeradora LG Top Freezer GT57BPSX,85.5,0.96,0.8,1.76,40.0,-12.104034,-77.132293
9,Cafetera Oster Prima Latte,5.0,0.32,0.225,0.28,5.0,-12.160173,-76.918136
10,Televisor TCL SMART TV 65 QLED 4K UHD,17.3,0.3,1.09,0.83,0.0,-12.135231,-77.083445
11,Aspiradora Thomas Cyclone,7.5,0.6,0.38,0.5,0.0,-12.110891,-77.02696
12,Grill Oster CKSTGR4768-053,2.7,0.455,0.327,0.322,0.0,-12.190448,-77.134783
13,Licuadora Oster 250-22,3.74,0.23,0.19,0.335,0.0,-12.136911,-77.140212
14,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.181306,-77.129783
15,Televisor Samsung SMART TV 43 UHD,8.1,0.25,0.94,0.71,0.0,-12.172316,-77.176539
