1,Refrigeradora LG Top Freezer GT57BPSX,85.5,0.96,0.8,1.76,40.0,-12.07927,-77.063227
2,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.053728,-76.948494
3,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.140356,-76.985933
4,Televisor TCL SMART TV 65 QLED 4K UHD,17.3,0.3,1.09,0.83,0.0,-12.07927,-77.063227
5,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.053728,-76.948494
6,Cafetera Oster Prima Latte,5.0,0.32,0.225,0.28,5.0,-12.0657,-77.10126
7,Horno Eléctrico Modelo 1,9.1,0.78,0.54,0.54,8.0,-12.15856,-76.989342
8,Licuadora Miray LIM-9,1.3,0.133,0.22,0.35,0.0,-12.134781,-77.014236
9,Cocina Klimatic Munchen,26.6,0.552,0.495,0.85,15.0,-12.097622,-77.036002
10,Grill Oster CKSTGR4768-053,2.7,0.455,0.327,0.322,0.0,-12.075262,-77.154321
11,Refrigeradora MABE Side by Side No Frost Inverter,94.0,0.77,0.92,1.92,50.0,-12.097622,-77.036002
12,Lavaseca LG WD9PVC4S6 AI DD,66.0,0.58,0.66,0.89,40.0,-12.134781,-77.014236
13,Horno Microondas LG MS2536GIS,11.0,0.54,0.417,0.294,10.0,-12.0545,-77.1176
14,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
15,Aspiradora Electrolux ERG36,4.21,0.15,0.3,0.69,0.0,-12.10738,-76.996883
16,Horno Eléctrico Modelo 2,7.1,0.43,0.51,0.41,6.0,-12.0545,-77.1176
17,Licuadora Oster 250-22,3.74,0.23,0.19,0.335,0.0,-12.140356,-76.985933
