1,Televisor Philips 50 4K Ultra HD Google TV,9.31,0.25,0.94,0.71,0.0,-12.177647,-77.195085
2,Cafetera Oster Prima Latte,5.0,0.32,0.225,0.28,5.0,-12.141576,-77.159088
3,Televisor TCL SMART TV 65 QLED 4K UHD,17.3,0.3,1.09,0.83,0.0,-12.145981,-77.120833
4,Grill Oster CKSTGR4768-053,2.7,0.455,0.327,0.322,0.0,-12.10366,-77.054298
5,Horno Eléctrico Modelo 3,7.25,0.43,0.52,0.38,6.0,-12.130332,-77.005495
6,Refrigeradora MABE Side by Side No Frost Inverter,94.0,0.77,0.92,1.92,50.0,-12.103063,-77.17798
7,Cocina MABE EMP5120GP1,24.5,0.54,0.52,0.915,15.0,-12.052374,-77.022028
8,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.16979,-77.092505
9,Refrigeradora LG Top Freezer GT57BPSX,85.5,0.96,0.8,1.76,40.0,-12.072237,-76.983746
10,Refrigeradora Samsung Side By Side RS52B3000M9,93.0,0.72,0.97,1.89,50.0,-12.059912,-76.906103
11,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.080849,-76.971422
12,Horno Microonda Panasonic NN-GT34JBRPK,15.4,0.55,0.34,0.42,10.0,-12.189111,-76.975424
13,Horno Microondas LG MS2536GIS,11.0,0.54,0.417,0.294,10.0,-12.136761,-77.012352
14,Licuadora Oster 250-22,3.74,0.23,0.19,0.335,0.0,-12.088447,-77.019757
15,Cafetera Electrolux ECM30,6.85,0.266,0.325,0.358,6.0,-12.147069,-77.033225
