1,Refrigeradora LG Top Freezer VT37BPM,70.0,0.72,0.73,1.79,40.0,-12.085846,-76.971214
2,Televisor Samsung Smart TV 50 LED 4K UHD,9.5,0.25,0.95,0.69,0.0,-12.122452,-77.031293
3,Horno Eléctrico Modelo 2,7.1,0.43,0.51,0.41,6.0,-12.0545,-77.1176
4,Cafetera Electrolux ECM30,6.85,0.26,0.32,0.35,6.0,-12.143153,-77.128616
5,Cocina MABE CMP5140FX0,28.3,0.54,0.52,0.925,15.0,-12.10738,-76.996883
6,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.053728,-76.948494
7,Horno Microondas Indurama MWI-20TCRP,11.23,0.48,0.38,0.29,10.0,-12.15856,-76.989342
8,Grill Oster CKSTGR4768-053,2.7,0.45,0.32,0.322,0.0,-12.075262,-77.154321
9,Lavavajillas Electrolux - EHFE14T2MSBXB,48.0,0.61,0.6,0.84,40.0,-11.995199,-77.176887
10,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
11,Horno Eléctrico Empotrable Indurama HEI-75V2NET,31.0,0.57,0.59,0.59,20.0,-12.041548,-77.142166
12,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.053728,-76.948494
13,Cafetera Oster Prima Latte,5.0,0.32,0.22,0.28,5.0,-12.0657,-77.10126
14,Licuadora Oster 250-22,3.74,0.23,0.19,0.335,0.0,-12.140356,-76.985933
15,Cocina Indurama Parma Zafiro,45.82,0.636,0.76,0.95,20.0,-12.053728,-76.948494
16,Refrigeradora MABE Side by Side No Frost Inverter,94.0,0.77,0.92,1.92,50.0,-12.097622,-77.036002
17,Lavaseca LG WD9PVC4S6 AI DD,66.0,0.58,0.66,0.89,40.0,-12.134781,-77.014236
